CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,BalanceToSalary,ZeroBalance,ProductsPerYear,EngagementProducts,AgeTenure,CreditScorePerAge,ChurnProbability,ActualChurn,PredictedChurn,RiskTier
572,35,1,139979.07,1,1,0,185662.84,FALSE,TRUE,FALSE,TRUE,FALSE,0.753938247,0,0.5,0,35,16.34285714,0.4193331,0,0,Medium
551,52,1,0,1,0,0,63584.55,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.5,0,52,10.59615385,0.9244989,1,1,High
471,26,8,0,2,1,1,179655.87,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.222222222,2,208,18.11538462,0.014810253,0,0,Low
466,26,3,156815.71,1,1,1,137476.09,TRUE,FALSE,FALSE,FALSE,TRUE,1.140667947,0,0.25,1,78,17.92307692,0.037262864,0,0,Low
588,44,8,154409.74,1,1,0,49324.03,TRUE,FALSE,FALSE,FALSE,TRUE,3.130454051,0,0.111111111,0,352,13.36363636,0.2581321,1,0,Low
778,34,7,109564.1,1,0,1,113046.81,TRUE,FALSE,FALSE,TRUE,FALSE,0.969183746,0,0.125,1,238,22.88235294,0.06963679,0,0,Low
729,34,3,152303.8,1,1,0,12128.69,TRUE,FALSE,FALSE,FALSE,TRUE,12.55628132,0,0.25,0,102,21.44117647,0.0761994,0,0,Low
776,43,4,0,2,0,1,162137.5,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.4,2,172,18.04651163,0.048686113,0,0,Low
664,35,1,115024.5,1,0,1,169665.79,FALSE,FALSE,TRUE,FALSE,TRUE,0.677943515,0,0.5,1,35,18.97142857,0.048713934,0,0,Low
523,36,8,158351.02,2,1,0,155304.53,TRUE,FALSE,FALSE,FALSE,TRUE,1.019609669,0,0.222222222,0,288,14.52777778,0.07878469,0,0,Low
733,39,5,91538.51,1,1,1,93783,FALSE,TRUE,FALSE,FALSE,TRUE,0.97605679,0,0.166666667,1,195,18.79487179,0.15334685,0,0,Low
693,30,6,127992.25,1,1,1,50457.2,TRUE,FALSE,FALSE,TRUE,FALSE,2.536599601,0,0.142857143,1,180,23.1,0.06436962,0,0,Low
614,46,4,0,1,1,0,74379.57,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.2,0,184,13.34782609,0.5672703,1,1,  Medium-High
775,45,8,0,1,1,0,130376.68,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.111111111,0,360,17.22222222,0.53552306,0,1,  Medium-High
633,43,5,0,2,1,1,48249.88,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.333333333,2,215,14.72093023,0.01766709,0,0,Low
676,43,2,0,1,1,1,55119.53,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,1,86,15.72093023,0.33975616,0,0,Medium
768,26,5,51116.26,1,1,1,70454.79,TRUE,FALSE,FALSE,TRUE,FALSE,0.725508294,0,0.166666667,1,130,29.53846154,0.07686099,1,0,Low
727,29,1,146652.01,1,1,1,173486.39,TRUE,FALSE,FALSE,TRUE,FALSE,0.84531798,0,0.5,1,29,25.06896552,0.017310483,0,0,Low
629,40,6,0,2,1,1,139356.3,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.285714286,2,240,15.725,0.04655012,0,0,Low
702,43,6,116121.67,1,1,0,61602.42,FALSE,FALSE,TRUE,FALSE,TRUE,1.884987392,0,0.142857143,0,258,16.3255814,0.3439604,0,0,Medium
796,52,9,167194.36,1,1,1,62808.93,FALSE,TRUE,FALSE,TRUE,FALSE,2.661909669,0,0.1,1,468,15.30769231,0.4416647,1,0,Medium
530,41,4,0,2,0,1,147606.71,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.4,2,164,12.92682927,0.040395603,0,0,Low
510,32,1,0,2,0,1,28515.17,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,1,2,32,15.9375,0.018487098,0,0,Low
709,44,9,128601.98,1,1,0,117031.2,TRUE,FALSE,FALSE,FALSE,TRUE,1.098859801,0,0.1,0,396,16.11363636,0.29760358,0,0,Low
642,40,6,129502.49,2,0,1,86099.23,FALSE,TRUE,FALSE,TRUE,FALSE,1.504089943,0,0.285714286,2,240,16.05,0.10110661,1,0,Low
655,30,1,83173.98,2,1,1,184259.6,FALSE,TRUE,FALSE,TRUE,FALSE,0.45139319,0,1,2,30,21.83333333,0.015946643,0,0,Low
464,33,10,147493.7,2,1,0,100447.53,TRUE,FALSE,FALSE,TRUE,FALSE,1.468351005,0,0.181818182,0,330,14.06060606,0.055992667,0,0,Low
617,61,3,113858.95,1,1,1,38129.22,FALSE,FALSE,TRUE,FALSE,TRUE,2.986055417,0,0.25,1,183,10.1147541,0.22729926,0,0,Low
655,46,7,137145.12,1,1,0,115146.4,FALSE,TRUE,FALSE,TRUE,FALSE,1.191039659,0,0.125,0,322,14.23913043,0.713594,1,1,  Medium-High
709,26,6,156551.63,1,0,1,4410.77,TRUE,FALSE,FALSE,FALSE,TRUE,35.48499355,0,0.142857143,1,156,27.26923077,0.02535184,0,0,Low
642,48,9,118317.27,4,0,0,78702.98,TRUE,FALSE,FALSE,FALSE,TRUE,1.503320035,0,0.4,0,432,13.375,0.98895746,1,1,High
741,42,9,121056.63,2,1,0,39122.58,FALSE,FALSE,TRUE,TRUE,FALSE,3.09421147,0,0.2,0,378,17.64285714,0.13421138,0,0,Low
415,53,5,167259.44,1,1,1,22357.25,FALSE,FALSE,TRUE,FALSE,TRUE,7.480882448,0,0.166666667,1,265,7.830188679,0.2186981,0,0,Low
684,30,2,0,2,1,0,83473.82,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.666666667,0,60,22.8,0.011773653,0,0,Low
706,29,2,0,2,1,1,18255.51,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.666666667,2,58,24.34482759,0.00998538,0,0,Low
634,45,2,0,1,1,1,143458.31,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,1,90,14.08888889,0.5347192,0,1,  Medium-High
813,29,6,0,1,1,0,33953.87,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.142857143,0,174,28.03448276,0.15379111,0,0,Low
775,70,6,119684.88,2,1,1,74532.02,FALSE,TRUE,FALSE,FALSE,TRUE,1.605796733,0,0.285714286,2,420,11.07142857,0.06902771,0,0,Low
445,31,7,145056.59,1,1,1,175893.53,TRUE,FALSE,FALSE,FALSE,TRUE,0.824679369,0,0.125,1,217,14.35483871,0.051511854,0,0,Low
701,37,8,107798.85,1,1,0,16966.73,TRUE,FALSE,FALSE,FALSE,TRUE,6.353168632,0,0.111111111,0,296,18.94594595,0.09419584,0,0,Low
752,33,4,0,2,1,1,39570.78,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.4,2,132,22.78787879,0.006907082,0,0,Low
723,21,4,0,2,0,0,24847.02,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.4,0,84,34.42857143,0.010467318,0,0,Low
806,34,6,0,2,0,0,100809.99,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.285714286,0,204,23.70588235,0.011616645,0,0,Low
625,49,6,173434.9,1,1,0,165580.93,TRUE,FALSE,FALSE,FALSE,TRUE,1.047426492,0,0.142857143,0,294,12.75510204,0.5349116,1,1,  Medium-High
712,44,2,0,2,0,0,45738.94,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.666666667,0,88,16.18181818,0.073267244,0,0,Low
571,22,3,108117.1,1,0,1,53328.7,FALSE,FALSE,TRUE,TRUE,FALSE,2.027333737,0,0.25,1,66,25.95454545,0.09663149,0,0,Low
639,37,4,116121.84,2,0,1,181850.74,TRUE,FALSE,FALSE,TRUE,FALSE,0.638552262,0,0.4,2,148,17.27027027,0.14497252,0,0,Low
627,44,5,0,2,1,0,82969.61,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,0,220,14.25,0.07616173,1,0,Low
630,32,4,82034,1,0,0,146326.45,FALSE,FALSE,TRUE,FALSE,TRUE,0.560619351,0,0.2,0,128,19.6875,0.08080241,0,0,Low
578,23,8,0,2,1,0,112124.98,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.222222222,0,184,25.13043478,0.011662884,0,0,Low
679,39,6,0,2,1,0,12266.06,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.285714286,0,234,17.41025641,0.015861126,0,0,Low
767,35,6,115576.44,1,0,1,27922.45,TRUE,FALSE,FALSE,TRUE,FALSE,4.139045856,0,0.142857143,1,210,21.91428571,0.1114456,0,0,Low
762,35,3,119349.69,3,1,1,47114.18,FALSE,FALSE,TRUE,TRUE,FALSE,2.533147279,0,0.75,3,105,21.77142857,0.9324819,1,1,High
734,39,6,0,1,1,1,95135.27,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.142857143,1,234,18.82051282,0.1615508,0,0,Low
659,67,6,117411.6,1,1,1,45071.09,FALSE,TRUE,FALSE,FALSE,TRUE,2.604973499,0,0.142857143,1,402,9.835820896,0.20148472,1,0,Low
575,49,7,121205.15,4,1,1,168080.53,FALSE,TRUE,FALSE,FALSE,TRUE,0.721109274,0,0.5,4,343,11.73469388,0.9854938,1,1,High
580,35,1,102097.33,1,0,1,168285.85,TRUE,FALSE,FALSE,TRUE,FALSE,0.606686322,0,0.5,1,35,16.57142857,0.11776248,0,0,Low
766,41,0,0,2,0,1,34283.23,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,2,2,0,18.68292683,0.10832671,0,0,Low
850,38,3,54901.01,1,1,1,140075.55,FALSE,TRUE,FALSE,FALSE,TRUE,0.391935767,0,0.25,1,114,22.36842105,0.0964251,0,0,Low
749,42,1,129776.72,2,0,1,143538.51,TRUE,FALSE,FALSE,FALSE,TRUE,0.904118455,0,1,2,42,17.83333333,0.06955904,0,0,Low
746,48,5,165282.42,1,1,0,153786.46,TRUE,FALSE,FALSE,FALSE,TRUE,1.074745756,0,0.166666667,0,240,15.54166667,0.47467288,1,0,Medium
718,37,8,0,2,1,1,142.81,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.222222222,2,296,19.40540541,0.01799728,0,0,Low
642,26,8,144238.7,1,1,1,184399.76,FALSE,FALSE,TRUE,FALSE,TRUE,0.782202308,0,0.111111111,1,208,24.69230769,0.10260936,0,0,Low
558,33,0,108477.49,1,1,1,109096.71,TRUE,FALSE,FALSE,FALSE,TRUE,0.994315004,0,1,1,0,16.90909091,0.024036817,1,0,Low
531,64,2,175754.87,2,1,1,60721.4,FALSE,TRUE,FALSE,TRUE,FALSE,2.894399266,0,0.666666667,2,128,8.296875,0.09050259,0,0,Low
748,41,2,91621.69,1,1,1,71139.31,TRUE,FALSE,FALSE,TRUE,FALSE,1.287901191,0,0.333333333,1,82,18.24390244,0.11874975,0,0,Low
664,36,1,0,2,1,1,95372.64,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,1,2,36,18.44444444,0.009811847,0,0,Low
511,75,9,105609.17,1,0,1,105425.18,FALSE,TRUE,FALSE,TRUE,FALSE,1.001735717,0,0.1,1,675,6.813333333,0.13925318,0,0,Low
635,47,2,125724.95,2,1,0,63236.97,TRUE,FALSE,FALSE,TRUE,FALSE,1.988124382,0,0.666666667,0,94,13.5106383,0.295097,0,0,Low
571,34,1,99325.04,2,0,1,186052.15,TRUE,FALSE,FALSE,FALSE,TRUE,0.533853041,0,1,2,34,16.79411765,0.033015437,0,0,Low
698,57,6,136325.48,2,1,1,72549.27,TRUE,FALSE,FALSE,FALSE,TRUE,1.879048555,0,0.285714286,2,342,12.24561404,0.09040744,1,0,Low
636,76,9,126534.6,1,1,1,39789.62,FALSE,FALSE,TRUE,FALSE,TRUE,3.180010766,0,0.1,1,684,8.368421053,0.015858818,0,0,Low
538,33,5,0,2,1,0,126962.41,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,0,165,16.3030303,0.03237367,0,0,Low
738,67,1,130652.52,1,0,1,22762.23,TRUE,FALSE,FALSE,TRUE,FALSE,5.739630096,0,0.5,1,67,11.01492537,0.26502642,0,0,Low
662,20,9,104508.77,2,0,0,73107.53,FALSE,FALSE,TRUE,FALSE,TRUE,1.429501728,0,0.2,0,180,33.1,0.07338267,0,0,Low
555,44,3,105770.7,3,1,0,60533.96,TRUE,FALSE,FALSE,TRUE,FALSE,1.747266373,0,0.75,0,132,12.61363636,0.99084926,1,1,High
531,27,8,132576.25,1,0,0,7222.92,FALSE,FALSE,TRUE,FALSE,TRUE,18.35239731,0,0.111111111,0,216,19.66666667,0.0831708,0,0,Low
593,32,9,134096.53,2,1,0,53931.05,FALSE,TRUE,FALSE,TRUE,FALSE,2.486397791,0,0.2,0,288,18.53125,0.05865292,1,0,Low
579,28,6,150329.15,1,1,0,145558.42,FALSE,TRUE,FALSE,FALSE,TRUE,1.032768267,0,0.142857143,0,168,20.67857143,0.13648902,0,0,Low
706,32,6,94486.47,1,1,1,146949.74,TRUE,FALSE,FALSE,FALSE,TRUE,0.642980566,0,0.142857143,1,192,22.0625,0.032014754,0,0,Low
754,28,8,0,2,1,1,52615.62,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.222222222,2,224,26.92857143,0.01241344,0,0,Low
653,31,9,143321.97,1,1,0,83679.46,FALSE,TRUE,FALSE,FALSE,TRUE,1.712729232,0,0.1,0,279,21.06451613,0.26562545,0,0,Low
558,26,1,148853.29,2,1,1,24411.02,FALSE,TRUE,FALSE,FALSE,TRUE,6.097540884,0,1,2,26,21.46153846,0.0377979,0,0,Low
589,39,7,0,2,0,0,95985.64,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.25,0,273,15.1025641,0.045871776,0,0,Low
670,65,1,0,1,1,1,177655.68,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.5,1,65,10.30769231,0.25602996,1,0,Low
714,35,6,126077.43,2,1,1,53954.24,FALSE,TRUE,FALSE,TRUE,FALSE,2.33670409,0,0.285714286,2,210,20.4,0.08566351,0,0,Low
547,51,1,0,2,1,1,56908.41,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,1,2,51,10.7254902,0.105064556,0,0,Low
761,37,7,132730.17,1,1,0,199293.01,FALSE,FALSE,TRUE,FALSE,TRUE,0.666001803,0,0.125,0,259,20.56756757,0.097165495,0,0,Low
591,24,6,147360,1,1,1,25310.82,TRUE,FALSE,FALSE,FALSE,TRUE,5.821786027,0,0.142857143,1,144,24.625,0.03847024,0,0,Low
714,31,4,125169.26,1,1,1,106636.89,TRUE,FALSE,FALSE,TRUE,FALSE,1.173778476,0,0.2,1,124,23.03225806,0.05772657,0,0,Low
629,35,7,156847.29,2,1,0,31824.29,FALSE,TRUE,FALSE,FALSE,TRUE,4.928385256,0,0.25,0,245,17.97142857,0.06170156,0,0,Low
643,36,7,161064.64,2,0,1,84294.82,TRUE,FALSE,FALSE,FALSE,TRUE,1.910707316,0,0.25,2,252,17.86111111,0.0488268,0,0,Low
445,38,6,119413.62,2,1,0,175756.36,FALSE,TRUE,FALSE,TRUE,FALSE,0.679423155,0,0.285714286,0,228,11.71052632,0.26078418,0,0,Low
501,34,3,107747.57,1,1,0,9249.36,TRUE,FALSE,FALSE,TRUE,FALSE,11.64793262,0,0.25,0,102,14.73529412,0.07404036,0,0,Low
686,43,5,154846.24,2,1,1,151903.6,FALSE,TRUE,FALSE,TRUE,FALSE,1.019365049,0,0.333333333,2,215,15.95348837,0.19088565,0,0,Low
500,30,2,125495.64,2,1,1,68807.47,FALSE,TRUE,FALSE,FALSE,TRUE,1.823840001,0,0.666666667,2,60,16.66666667,0.042107083,0,0,Low
703,39,1,141559.5,1,1,1,31257.1,FALSE,TRUE,FALSE,FALSE,TRUE,4.528730153,0,0.5,1,39,18.02564103,0.2804988,1,0,Low
730,34,5,122453.37,2,1,0,138882.98,TRUE,FALSE,FALSE,FALSE,TRUE,0.881695427,0,0.333333333,0,170,21.47058824,0.0525911,0,0,Low
433,27,2,0,2,1,1,153698.65,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.666666667,2,54,16.03703704,0.007197239,0,0,Low
521,41,8,120586.54,1,0,1,20491.15,FALSE,TRUE,FALSE,FALSE,TRUE,5.884523586,0,0.111111111,1,328,12.70731707,0.4261275,0,0,Medium
791,33,10,130229.71,2,0,0,54019.93,FALSE,TRUE,FALSE,TRUE,FALSE,2.410726916,0,0.181818182,0,330,23.96969697,0.077976935,1,0,Low
757,38,0,0,1,1,0,83263.06,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,1,0,0,19.92105263,0.11749995,0,0,Low
447,44,5,89188.83,1,1,1,75408.24,TRUE,FALSE,FALSE,TRUE,FALSE,1.18273079,0,0.166666667,1,220,10.15909091,0.18299045,0,0,Low
792,30,1,127187.86,1,1,1,113553.42,TRUE,FALSE,FALSE,FALSE,TRUE,1.120060848,0,0.5,1,30,26.4,0.010691674,0,0,Low
817,59,1,118962.58,1,1,1,120819.58,TRUE,FALSE,FALSE,FALSE,TRUE,0.984621825,0,0.5,1,59,13.84745763,0.23678856,0,0,Low
607,33,8,91301.72,1,0,1,130824.57,TRUE,FALSE,FALSE,TRUE,FALSE,0.697888952,0,0.111111111,1,264,18.39393939,0.06350126,0,0,Low
601,41,1,123971.16,1,0,1,172814.99,TRUE,FALSE,FALSE,FALSE,TRUE,0.717359314,0,0.5,1,41,14.65853659,0.1030615,0,0,Low
536,32,7,178011.5,2,1,0,22375.14,TRUE,FALSE,FALSE,FALSE,TRUE,7.955415903,0,0.25,0,224,16.75,0.07113871,0,0,Low
554,36,3,157780.93,2,1,0,6089.13,FALSE,TRUE,FALSE,TRUE,FALSE,25.90764565,0,0.5,0,108,15.38888889,0.07855722,0,0,Low
577,60,10,125389.7,2,1,1,178616.73,TRUE,FALSE,FALSE,FALSE,TRUE,0.7020003,0,0.181818182,2,600,9.616666667,0.14242157,0,0,Low
608,41,5,0,2,1,1,72462.25,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,2,205,14.82926829,0.03591493,0,0,Low
732,33,8,0,1,1,0,119882.7,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.111111111,0,264,22.18181818,0.19487533,0,0,Low
789,53,1,158271.74,1,1,1,5036.39,TRUE,FALSE,FALSE,TRUE,FALSE,31.41939377,0,0.5,1,53,14.88679245,0.41594413,1,0,Medium
552,34,5,0,2,1,1,1351.41,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.333333333,2,170,16.23529412,0.023548674,0,0,Low
621,40,10,163823.37,1,0,0,89519.47,TRUE,FALSE,FALSE,FALSE,TRUE,1.830010164,0,0.090909091,0,400,15.525,0.1983101,0,0,Low
766,52,7,92510.9,2,0,1,66193.61,TRUE,FALSE,FALSE,TRUE,FALSE,1.397559409,0,0.25,2,364,14.73076923,0.36615217,0,0,Medium
685,43,4,97392.18,2,1,0,43956.83,FALSE,FALSE,TRUE,FALSE,TRUE,2.21558207,0,0.4,0,172,15.93023256,0.11085768,0,0,Low
649,38,8,0,1,1,0,103760.53,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.111111111,0,304,17.07894737,0.2741583,0,0,Low
493,36,2,0,2,0,1,99770.3,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.666666667,2,72,13.69444444,0.045316715,0,0,Low
633,35,10,0,2,1,0,65675.47,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.181818182,0,350,18.08571429,0.0158411,0,0,Low
742,33,1,137937.95,1,1,1,51387.1,FALSE,TRUE,FALSE,FALSE,TRUE,2.684239153,0,0.5,1,33,22.48484848,0.13058306,0,0,Low
604,41,10,0,2,1,1,166224.39,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.181818182,2,410,14.73170732,0.10579224,0,0,Low
759,42,4,105420.18,1,0,1,121409.06,TRUE,FALSE,FALSE,FALSE,TRUE,0.868298558,0,0.2,1,168,18.07142857,0.12330144,0,0,Low
683,35,6,187530.66,2,1,1,37976.36,TRUE,FALSE,FALSE,TRUE,FALSE,4.937959353,0,0.285714286,2,210,19.51428571,0.08956256,0,0,Low
678,28,2,109137.12,1,1,1,58814.41,TRUE,FALSE,FALSE,FALSE,TRUE,1.855587167,0,0.333333333,1,56,24.21428571,0.04439725,0,0,Low
628,31,0,88421.81,1,0,0,72350.47,TRUE,FALSE,FALSE,FALSE,TRUE,1.222114907,0,1,0,0,20.25806452,0.028690346,0,0,Low
850,36,6,0,2,1,1,190194.95,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.285714286,2,216,23.61111111,0.019294068,0,0,Low
724,34,2,0,2,1,1,118863.38,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.666666667,2,68,21.29411765,0.033408534,0,0,Low
828,31,9,0,1,0,1,164257.37,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.1,1,279,26.70967742,0.11845027,0,0,Low
569,30,3,139528.23,1,1,1,33230.37,FALSE,FALSE,TRUE,TRUE,FALSE,4.198690274,0,0.25,1,90,18.96666667,0.08145077,0,0,Low
677,49,3,0,2,1,1,187811.71,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.5,2,147,13.81632653,0.064155854,0,0,Low
495,38,2,63093.01,1,1,1,47089.72,TRUE,FALSE,FALSE,TRUE,FALSE,1.339818334,0,0.333333333,1,76,13.02631579,0.11796898,0,0,Low
627,33,4,83199.05,1,0,0,159334.93,FALSE,TRUE,FALSE,TRUE,FALSE,0.52216126,0,0.2,0,132,19,0.2110738,0,0,Low
597,36,9,0,2,1,1,7156.09,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.2,2,324,16.58333333,0.044291474,0,0,Low
762,31,7,117687.35,1,1,1,159344.43,TRUE,FALSE,FALSE,FALSE,TRUE,0.738567463,0,0.125,1,217,24.58064516,0.036486894,0,0,Low
476,69,1,105303.73,1,0,1,134260.34,FALSE,FALSE,TRUE,TRUE,FALSE,0.784319075,0,0.5,1,69,6.898550725,0.17081906,0,0,Low
499,35,10,0,2,1,0,10722.54,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.181818182,0,350,14.25714286,0.022314193,0,0,Low
642,62,7,0,2,1,1,61120.75,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.25,2,434,10.35483871,0.061122753,0,0,Low
562,62,3,0,2,1,0,105986.01,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.5,0,186,9.064516129,0.81655693,0,1,High
542,25,7,0,2,0,1,82393.08,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.25,2,175,21.68,0.014420434,0,0,Low
451,31,7,140931.82,1,0,1,20388.77,TRUE,FALSE,FALSE,TRUE,FALSE,6.911888658,0,0.125,1,217,14.5483871,0.046445496,0,0,Low
712,37,1,106881.5,2,0,0,169386.81,TRUE,FALSE,FALSE,TRUE,FALSE,0.630986964,0,1,0,37,19.24324324,0.16258922,0,0,Low
565,34,6,0,1,1,1,63173.64,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.142857143,1,204,16.61764706,0.11623003,0,0,Low
732,36,9,0,1,0,0,3749,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.1,0,324,20.33333333,0.21433432,1,0,Low
771,51,5,135506.58,3,1,1,152479.64,FALSE,FALSE,TRUE,FALSE,TRUE,0.888680556,0,0.5,3,255,15.11764706,0.9790812,1,1,High
655,41,5,0,1,0,0,36548,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.166666667,0,205,15.97560976,0.4065497,1,0,Medium
683,38,3,126152.84,1,0,0,15378.75,FALSE,FALSE,TRUE,FALSE,TRUE,8.20252865,0,0.25,0,114,17.97368421,0.13402548,0,0,Low
764,38,4,113607.47,1,1,0,91094.46,FALSE,FALSE,TRUE,FALSE,TRUE,1.247125488,0,0.2,0,152,20.10526316,0.13706528,0,0,Low
438,60,7,78391.17,1,0,1,49424.6,TRUE,FALSE,FALSE,FALSE,TRUE,1.586043872,0,0.125,1,420,7.3,0.15512757,0,0,Low
762,35,9,122929.42,2,0,0,149822.04,FALSE,FALSE,TRUE,FALSE,TRUE,0.820497435,0,0.2,0,315,21.77142857,0.06390735,0,0,Low
622,39,9,0,2,0,1,100862.36,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.2,2,351,15.94871795,0.014793114,0,0,Low
